product_id,name,category,price,stock,supplier
100,Apple MacBook Pro M2,Laptop,213,408,Apple Inc.
101,Apple iPhone 15 Pro,Smartphone,290,155,Apple Inc.
102,Samsung Galaxy S24 Ultra,Smartphone,1239,881,Samsung Electronics
103,Samsung Galaxy Buds2 Pro,Audio,673,400,Samsung Electronics
104,Sony WH-1000XM5 Headphones,Audio,1944,708,Sony Corporation
105,Amazon Echo Dot (5th Gen),Audio,630,700,Amazon Devices
106,Google Pixel 8 Pro,Smartphone,484,94,Google Hardware
107,Google Nest Hub Max,Smart Display,828,165,Google Hardware
108,Microsoft Surface Laptop 5,Laptop,897,195,Microsoft Surface
109,Nvidia RTX 4090 GPU,GPU,634,809,Nvidia Corp.
110,ASUS ROG Zephyrus G14,Laptop,304,664,ASUS
111,Dell XPS 13,Laptop,1409,593,Dell Technologies
112,HP Spectre x360,Laptop,624,392,HP Inc.
113,Lenovo Yoga 9i,Laptop,814,345,Lenovo Group
114,Intel Core i9-14900K Processor,Processor,1441,245,Intel Corporation
115,Logitech MX Master 3S Mouse,Peripheral,1366,107,Logitech
116,Razer BlackWidow V4 Pro Keyboard,Peripheral,835,467,Razer Inc.
117,Anker 737 Power Bank,Power Accessory,1930,575,Anker Innovations
118,Samsung T7 Shield SSD,Storage,1981,655,Samsung Electronics
119,Apple AirPods Pro 2,Audio,1093,978,Apple Inc.
120,NZXT Kraken X63,Cooling,1315,911,NZXT
121,Corsair iCUE Fan,Cooling,1484,442,Corsair
122,CoolerMaster Hyper 212,Cooling,419,96,CoolerMaster
123,Nvidia RTX 4090 GPU,GPU,710,402,Nvidia Corp.
124,Nvidia RTX 4080 Super GPU,GPU,1459,267,Nvidia Corp.
125,JBL Flip 6 Speaker,Audio,1226,983,JBL
126,Apple MacBook Air M3,Laptop,182,50,Apple Inc.
127,Apple iPad Air 5,Tablet,129,44,Apple Inc.
128,Apple AirPods Pro 2,Audio,92,80,Apple Inc.
129,Noctua NH-D15 Cooler,Cooling,1628,758,Noctua
130,Logitech G915 Keyboard,Peripheral,237,380,Logitech
131,Razer DeathAdder V2,Peripheral,254,914,Razer Inc.
132,Marshall Emberton Speaker,Audio,456,907,Marshall
133,Arctic Freezer eSports,Cooling,1373,155,Arctic
134,Belkin SurgePlus,Power Accessory,1256,865,Belkin
135,Apple Watch Series 9,Wearable,425,150,Apple Inc.
136,Apple Studio Display,Monitor,6999,100,Apple Inc.
137,OnePlus Buds Pro,Audio,550,512,OnePlus
138,Beats Studio3 Wireless,Audio,990,266,Beats
139,Samsung Galaxy Tab S9,Tablet,956,111,Samsung Electronics
